epoch,acc,f_score,loss,precision,recall,val_acc,val_f_score,val_loss,val_precision,val_recall
0,0.35333333359824287,0.0,1.0974808641716285,0.0,0.0,0.3533333345254262,0.0,1.0957179180781047,0.0,0.0
1,0.37555555590876827,0.0,1.0953992531034682,0.0,0.0,0.4000000019868215,0.0,1.0922433996200562,0.0,0.0
2,0.4007407409614987,0.0,1.0907266472004078,0.0,0.0,0.37333333532015484,0.0,1.086814570426941,0.0,0.0
3,0.4155555556438587,0.0,1.0877552654125073,0.0,0.0,0.36666666666666664,0.0,1.0832799514134726,0.0,0.0
4,0.41407407425068044,0.0,1.0833728807943839,0.0,0.0,0.37333333333333335,0.0,1.077018240292867,0.0,0.0
5,0.4074074076723169,0.0,1.0804717212253148,0.0,0.0,0.37333333571751914,0.0,1.0704277118047079,0.0,0.0
6,0.42222222257543496,0.013006565482528121,1.0779430179242735,0.3160493751808449,0.006666666666666667,0.4666666674613953,0.0,1.0666776831944784,0.0,0.0
7,0.44814814841305767,0.004365105275754576,1.0697313958627206,0.15802468193901908,0.0022222222222222222,0.4666666674613953,0.0,1.0554163471857707,0.0,0.0
8,0.43629629647290263,0.025515284891481752,1.0679974939205028,0.4823515432852286,0.013333333333333334,0.4666666674613953,0.0,1.0503836464881897,0.0,0.0
9,0.4503703705469767,0.04485454290001481,1.0638825725626062,0.5503589813797563,0.023703703711982126,0.4666666650772095,0.0,1.0472341179847717,0.0,0.0
10,0.44888888893304046,0.07182706144120958,1.0583836739151566,0.4917187273943866,0.03925925925925926,0.4666666650772095,0.0,1.0432865142822265,0.0,0.0
11,0.4674074075840138,0.08489392460496337,1.0520137915787873,0.5143918155740809,0.0466666667273751,0.48666666507720946,0.0,1.0405459094047547,0.0,0.0
12,0.4688888891096468,0.13426432839146366,1.0545021140133892,0.5333052204273365,0.07777777789919464,0.48666666507720946,0.025283943812052408,1.0375617559750874,0.24380953470865885,0.013333333333333334
13,0.47259259268089576,0.09145326484132696,1.0493027777141994,0.546624191072252,0.05037037040348406,0.47333333174387615,0.03764705022176107,1.0414675919214884,0.32,0.02
14,0.4666666667549698,0.1581048078448684,1.046076972749498,0.5543949025648611,0.09259259292372951,0.48666666507720946,0.1036456177632014,1.0352580523490906,0.38222223361333213,0.0600000003973643
15,0.47185185216091297,0.17323524386794478,1.0395039448914705,0.5485003881984287,0.104444444598975,0.4933333317438761,0.12256341358025868,1.035960048834483,0.38222223361333213,0.07333333373069763
16,0.4785185186509733,0.22018576599933484,1.0364628170154713,0.6122759427847686,0.1348148149693454,0.4999999984105428,0.11261435856421788,1.035044915676117,0.3805333455403646,0.06666666686534882
17,0.47407407411822566,0.20756667388810052,1.0332661317012928,0.6149881659613715,0.1251851854721705,0.49999999602635703,0.13423828999201456,1.025854953924815,0.41720001220703123,0.08000000059604645
18,0.4911111111994143,0.2550137343671587,1.0222984890584592,0.6235081318572715,0.1614814821879069,0.4933333293596904,0.17722824861605962,1.0339737439155579,0.41789790829022727,0.11333333353201548
19,0.4829629628746598,0.23445434150872407,1.0288927872092635,0.5976633594654225,0.14740740769439273,0.49999999602635703,0.18029297639926276,1.041136275132497,0.4504575192928314,0.11333333353201548
20,0.4903703718715244,0.2693800409193392,1.0188673112127515,0.6017837625962716,0.1748148148810422,0.5133333293596903,0.14908741384744645,1.035239305496216,0.3728282928466797,0.09333333353201548
